a 阿啊呵锕吖腌嗄
ai 爱嫒暧瑷哀锿挨埃诶唉隘嗌艾哎砹癌蔼霭矮碍皑
an 安按桉氨铵庵俺鹌埯胺鞍桉案暗揞黯谙岸
ang 昂盎肮
ao 奥澳懊熬傲嗷敖廒遨鳌骜螯獒岙袄凹坳拗嚣媪
ba 巴岜爸把吧靶耙芭笆疤粑钯八扒叭拔跋魃茇霸灞罢捌坝
bai 白伯柏百佰捭稗败呗拜摆掰
ban 半伴绊拌版板扳坂阪钣舨般搬瘢班斑癍办瓣颁扮
bang 邦绑梆帮榜傍磅膀镑谤蒡棒浜蚌
bao 包饱饱刨胞炮苞鲍龅雹报保褓葆堡煲褒宝薄豹暴爆剥趵鸨
bei 被陂倍焙碚蓓北邶背褙臂杯贝呗狈钡辈悲卑碑萆悖鹎备惫鞴鐾
ben 本苯笨奔贲锛坌夯畚
beng 蚌崩绷蹦嘣泵甭迸甏
bi 匕比毙秕妣吡庇毖毕陛篦蓖必秘铋笔滗臂鼻濞敝弊辟碧璧壁避襞畀裨婢俾髀庳痹弼蔽贲币逼彼闭拂愎鄙
bian 边笾扁编遍鳊褊煸蝙碥匾辩辨辫弁卞汴忭苄便鞭缏变贬砭窆
biao 表裱婊标膘镖骠瘭鳔勺杓彪髟飙镳飑
bie 别鳖憋瘪蹩
bin 宾滨膑殡傧槟镔摈缤髌鬓斌彬濒豳玢
bing 并饼屏摒丙炳柄病兵冰秉禀邴
bo 脖勃渤鹁波玻跛拨菠簸伯铂泊舶柏箔博博膊搏薄播趵驳帛擘檗钹钵踣卜亳般
bu 不钚布怖钸卜卟补捕哺晡埔逋簿埠部步醭瓿
ca 擦嚓礤拆
cai 才材财采菜彩踩睬蔡裁猜
can 参骖掺惨残餐蚕灿惭粲璨
cang 藏仓舱苍沧伧
cao 曹草槽漕嘈螬艚操糙
ce 册策侧测厕恻
ceng 层曾蹭噌
ci 次茨此疵雌词伺祠辞兹慈磁鹚糍刺瓷赐差
cong 从丛枞苁匆葱琮淙囱璁骢聪
cou 凑腠辏楱
cu 粗殂徂促簇醋猝酢蹴蹙
cuan 窜蹿镩撺攒汆篡爨
cui 隹崔催摧璀萃翠粹悴瘁啐淬衰榱脆毳
cun 村寸忖存蹲皴
cuo 错措厝挫矬锉脞搓蹉嵯瘥鹾磋撮
cha 差槎查碴喳馇楂猹茶搽插锸察嚓镲檫叉衩杈汊诧姹茬岔刹
chai 拆差柴钗虿侪豺
chan 产铲单禅蝉婵阐馋搀谗孱潺骣冁冁镡缠颤蟾谄躔廛澶忏蒇羼觇
chang 厂长伥怅苌场肠畅昌唱倡娼猖鲳阊菖尝偿倘徜惝敞氅常嫦裳昶鬯
chao 超吵炒钞抄耖朝潮嘲巢剿绰焯晁怊
che 车砗撤澈扯彻尺坼掣
chen 陈沉尘称臣秤晨谌辰趁衬忱琛橙郴宸碜榇嗔龀伧抻谶
cheng 成城诚铖蛏柽称呈程逞埕裎承盛乘撑澄惩秤橙铛丞枨瞠噌骋酲塍
